                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0399,                 3.0868,                 2.4013,                 0.3359,                0.27629,                0.24444,                0.10427,                 2.0155,                 2.7536,                 2.4231,             0.00066513,             0.00066513,             0.00066513
                      2,                 2.0105,                 2.4978,                 2.4194,                0.45557,                0.27911,                0.29518,                0.12969,                 2.1456,                 2.3749,                 2.5471,              0.0012988,              0.0012988,              0.0012988
                      3,                 1.9643,                 2.4121,                 2.3824,                0.37822,                0.28539,                0.25323,                 0.1078,                  2.187,                 2.5878,                 2.6412,              0.0018995,              0.0018995,              0.0018995
                      4,                 1.9225,                 2.3635,                 2.3508,                0.43731,                0.31221,                0.30668,                0.13827,                 2.0608,                 2.2597,                 2.4056,              0.0018515,              0.0018515,              0.0018515
                      5,                 1.8619,                 2.2568,                 2.2747,                0.55451,                0.36758,                0.41743,                0.20595,                  1.874,                  2.055,                 2.2553,               0.001802,               0.001802,               0.001802
                      6,                 1.8386,                 2.1899,                 2.2413,                0.58652,                0.37158,                0.42626,                0.20516,                 1.9285,                 1.9926,                  2.295,              0.0017525,              0.0017525,              0.0017525
                      7,                 1.8088,                 2.1503,                  2.223,                0.64347,                0.40411,                0.47309,                0.22784,                 1.8653,                 1.9165,                 2.2236,               0.001703,               0.001703,               0.001703
                      8,                  1.784,                 2.0874,                 2.1957,                0.55674,                0.37557,                0.41909,                0.18609,                 1.9832,                 2.0445,                 2.3179,              0.0016535,              0.0016535,              0.0016535
                      9,                  1.763,                 2.0645,                 2.1953,                0.65139,                0.37647,                0.45761,                0.21323,                 1.9316,                 1.9291,                 2.2736,               0.001604,               0.001604,               0.001604
                     10,                 1.7444,                 1.9977,                 2.1597,                0.61163,                0.40126,                0.47703,                0.22898,                 1.8508,                 1.8758,                 2.1817,              0.0015545,              0.0015545,              0.0015545
                     11,                 1.7414,                 1.9904,                 2.1522,                0.60129,                0.42694,                0.49207,                 0.2566,                 1.7775,                  1.751,                 2.1512,               0.001505,               0.001505,               0.001505
                     12,                 1.7082,                  1.964,                 2.1239,                 0.6239,                 0.3984,                 0.4621,                0.22899,                 1.8483,                 1.8603,                 2.1919,              0.0014555,              0.0014555,              0.0014555
                     13,                 1.6995,                 1.9293,                 2.1222,                 0.6446,                  0.441,                0.51294,                0.26331,                  1.758,                 1.7017,                  2.129,               0.001406,               0.001406,               0.001406
                     14,                 1.6771,                 1.8748,                 2.0981,                 0.6891,                 0.4532,                 0.5302,                0.26725,                 1.7808,                  1.687,                 2.1153,              0.0013565,              0.0013565,              0.0013565
                     15,                 1.6778,                 1.8891,                 2.1105,                 0.6784,                0.45605,                 0.5517,                0.28528,                 1.7643,                 1.6196,                 2.1141,               0.001307,               0.001307,               0.001307
                     16,                 1.6586,                 1.8452,                 2.0733,                 0.6802,                0.46119,                0.55806,                0.28189,                 1.7402,                 1.6406,                 2.0725,              0.0012575,              0.0012575,              0.0012575
                     17,                 1.6392,                  1.813,                 2.0497,                0.69733,                0.48687,                0.57668,                0.30138,                 1.6999,                 1.5807,                 2.0461,               0.001208,               0.001208,               0.001208
                     18,                  1.629,                 1.8161,                 2.0567,                0.66007,                0.47317,                0.55301,                0.28086,                 1.7099,                 1.6115,                 2.0773,              0.0011585,              0.0011585,              0.0011585
                     19,                 1.6115,                 1.7861,                 2.0311,                0.68791,                0.51078,                0.59703,                0.32687,                 1.6376,                 1.4843,                  1.995,               0.001109,               0.001109,               0.001109
                     20,                 1.6109,                 1.7424,                   2.02,                0.67052,                0.48903,                 0.5723,                0.31209,                 1.6502,                 1.5703,                 1.9972,              0.0010595,              0.0010595,              0.0010595
                     21,                 1.6034,                 1.7581,                 2.0177,                0.68017,                0.50342,                0.58345,                0.29731,                 1.7032,                 1.5442,                 2.0718,                0.00101,                0.00101,                0.00101
                     22,                 1.6018,                 1.7362,                 2.0105,                0.68799,                0.49258,                0.58005,                0.31864,                 1.6371,                 1.5053,                 2.0002,              0.0009605,              0.0009605,              0.0009605
                     23,                 1.5781,                 1.6834,                 1.9936,                0.70933,                0.50913,                 0.6048,                0.33106,                 1.6128,                 1.4884,                 1.9713,               0.000911,               0.000911,               0.000911
                     24,                 1.5833,                 1.6994,                  1.991,                0.71418,                0.50799,                0.60973,                0.34033,                 1.5808,                 1.4773,                  1.961,              0.0008615,              0.0008615,              0.0008615
                     25,                 1.5625,                 1.6647,                  1.975,                0.68498,                0.54909,                0.62799,                 0.3365,                 1.6012,                 1.4612,                 1.9568,               0.000812,               0.000812,               0.000812
                     26,                 1.5528,                 1.6577,                 1.9754,                0.70336,                0.54566,                0.62148,                0.34003,                 1.5858,                 1.4288,                 1.9344,              0.0007625,              0.0007625,              0.0007625
                     27,                 1.5406,                 1.6103,                 1.9505,                0.73128,                0.52397,                0.62388,                 0.3448,                 1.5811,                  1.409,                 1.9375,               0.000713,               0.000713,               0.000713
                     28,                 1.5259,                 1.6029,                 1.9443,                0.73007,                 0.5411,                0.64275,                0.35349,                 1.5827,                 1.3782,                 1.9221,              0.0006635,              0.0006635,              0.0006635
                     29,                 1.5292,                 1.5857,                 1.9377,                0.73524,                0.53368,                 0.6287,                0.35092,                 1.5602,                 1.3802,                 1.9243,               0.000614,               0.000614,               0.000614
                     30,                 1.5152,                 1.5539,                 1.9301,                0.73574,                0.53995,                0.64298,                0.35077,                 1.5808,                 1.3669,                 1.9295,              0.0005645,              0.0005645,              0.0005645
                     31,                  1.526,                 1.4959,                  1.932,                0.74289,                0.54167,                0.65055,                0.34429,                 1.6037,                 1.3696,                 1.9543,               0.000515,               0.000515,               0.000515
                     32,                 1.5042,                  1.484,                 1.9175,                0.72925,                0.56575,                0.64923,                0.36035,                 1.5549,                 1.3484,                 1.8976,              0.0004655,              0.0004655,              0.0004655
                     33,                 1.4973,                 1.4412,                 1.8973,                0.73457,                0.58287,                0.66167,                0.37356,                 1.5097,                 1.2912,                 1.8653,               0.000416,               0.000416,               0.000416
                     34,                 1.4882,                 1.4303,                  1.894,                0.73958,                0.58676,                0.66763,                0.37331,                 1.5342,                 1.2828,                 1.8801,              0.0003665,              0.0003665,              0.0003665
